ID,Year,Award,Winner,Award Motivation,Link on official website
1901 - Medicine / Physiology,1901,Medicine / Physiology,Emil Adolf von Behring,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1901/
1901 - Peace,1901,Peace,"Henry Dunant, Frédéric Passy",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1901/
1901 - Chemestry,1901,Chemestry,Jacobus Henricus van 't Hoff,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1901/
1901 - Literature,1901,Literature,Sully Prudhomme,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1901/
1901 - Physics,1901,Physics,Wilhelm Röntgen,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1901/
1902 - Peace,1902,Peace,"Charles Albert Gobat, Élie Ducommun",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1902/
1902 - Physics,1902,Physics,"Hendrik Lorentz, Pieter Zeeman","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1902/
1902 - Chemestry,1902,Chemestry,Hermann Emil Fischer,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1902/
1902 - Medicine / Physiology,1902,Medicine / Physiology,Ronald Ross,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1902/
1902 - Literature,1902,Literature,Theodor Mommsen,"""the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1902/
1903 - Literature,1903,Literature,Bjørnstjerne Bjørnson,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1903/
1903 - Physics,1903,Physics,"Henri Becquerel, Marie Curie, Pierre Curie","""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1903/
1903 - Medicine / Physiology,1903,Medicine / Physiology,Niels Ryberg Finsen,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1903/
1903 - Peace,1903,Peace,Randal Cremer,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1903/
1903 - Chemestry,1903,Chemestry,Svante Arrhenius,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1903/
1904 - Literature,1904,Literature,"Frédéric Mistral, José Echegaray","""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1904/
1904 - Peace,1904,Peace,Institut de Droit International,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1904/
1904 - Medicine / Physiology,1904,Medicine / Physiology,Ivan Pavlov,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1904/
1904 - Physics,1904,Physics,Lord Rayleigh,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1904/
1904 - Chemestry,1904,Chemestry,William Ramsay,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1904/
1905 - Chemestry,1905,Chemestry,Adolf von Baeyer,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1905/
1905 - Peace,1905,Peace,Bertha von Suttner,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1905/
1905 - Literature,1905,Literature,Henryk Sienkiewicz,"""because of his outstanding merits as an epic writer""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1905/
1905 - Physics,1905,Physics,Philipp Lenard,"""for his work on cathode rays""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1905/
1905 - Medicine / Physiology,1905,Medicine / Physiology,Robert Koch,"""for his investigations and discoveries in relation to tuberculosis""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1905/
1906 - Medicine / Physiology,1906,Medicine / Physiology,"Santiago Ramón y Cajal, Camillo Golgi","""in recognition of their work on the structure of the nervous system""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1906/
1906 - Literature,1906,Literature,Giosuè Carducci,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1906/
1906 - Chemestry,1906,Chemestry,Henri Moissan,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1906/
1906 - Physics,1906,Physics,J. J. Thomson,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1906/
1906 - Peace,1906,Peace,Theodore Roosevelt,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1906/
1907 - Physics,1907,Physics,Albert Abraham Michelson,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1907/
1907 - Medicine / Physiology,1907,Medicine / Physiology,Charles Louis Alphonse Laveran,"""in recognition of his work on the role played by protozoa in causing diseases""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1907/
1907 - Chemestry,1907,Chemestry,Eduard Buchner,"""for his biochemical researches and his discovery of cell-free fermentation""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1907/
1907 - Peace,1907,Peace,"Louis Renault, Ernesto Teodoro Moneta",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1907/
1907 - Literature,1907,Literature,Rudyard Kipling,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1907/
1908 - Medicine / Physiology,1908,Medicine / Physiology,"Élie Metchnikoff, Paul Ehrlich","""in recognition of their work on immunity""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1908/
1908 - Chemestry,1908,Chemestry,Ernest Rutherford,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1908/
1908 - Physics,1908,Physics,Gabriel Lippmann,"""for his method of reproducing colours photographically based on the phenomenon of interference""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1908/
1908 - Peace,1908,Peace,"Fredrik Bajer, Klas Pontus Arnoldson",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1908/
1908 - Literature,1908,Literature,Rudolf Christoph Eucken,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1908/
1909 - Peace,1909,Peace,"Auguste Marie François Beernaert, Paul-Henri-Benjamin d'Estournelles de Constant",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1909/
1909 - Medicine / Physiology,1909,Medicine / Physiology,Emil Theodor Kocher,"""for his work on the physiology, pathology and surgery of the thyroid gland""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1909/
1909 - Physics,1909,Physics,"Guglielmo Marconi, Karl Ferdinand Braun","""in recognition of their contributions to the development of wireless telegraphy""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1909/
1909 - Literature,1909,Literature,Selma Lagerlöf,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1909/
1909 - Chemestry,1909,Chemestry,Wilhelm Ostwald,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1909/
1910 - Medicine / Physiology,1910,Medicine / Physiology,Albrecht Kossel,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1910/
1910 - Peace,1910,Peace,International Peace Bureau,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1910/
1910 - Physics,1910,Physics,Johannes Diderik van der Waals,"""for his work on the equation of state for gases and liquids""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1910/
1910 - Chemestry,1910,Chemestry,Otto Wallach,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1910/
1910 - Literature,1910,Literature,Paul Heyse,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1910/
1911 - Medicine / Physiology,1911,Medicine / Physiology,Allvar Gullstrand,"""for his work on the dioptrics of the eye""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1911/
1911 - Chemestry,1911,Chemestry,Marie Curie,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1911/
1911 - Literature,1911,Literature,Maurice Maeterlinck,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1911/
1911 - Peace,1911,Peace,"Tobias Asser, Alfred Hermann Fried",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1911/
1911 - Physics,1911,Physics,Wilhelm Wien,"""for his discoveries regarding the laws governing the radiation of heat""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1911/
1912 - Medicine / Physiology,1912,Medicine / Physiology,Alexis Carrel,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1912/
1912 - Peace,1912,Peace,Elihu Root,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1912/
1912 - Literature,1912,Literature,Gerhart Hauptmann,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1912/
1912 - Physics,1912,Physics,Gustaf Dalén,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1912/
1912 - Chemestry,1912,Chemestry,"Paul Sabatier, Victor Grignard","""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1912/
1913 - Chemestry,1913,Chemestry,Alfred Werner,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1913/
1913 - Medicine / Physiology,1913,Medicine / Physiology,Charles Richet,"""in recognition of his work on anaphylaxis""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1913/
1913 - Physics,1913,Physics,Heike Kamerlingh Onnes,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1913/
1913 - Peace,1913,Peace,Henri La Fontaine,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1913/
1913 - Literature,1913,Literature,Rabindranath Tagore,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1913/
1914 - Physics,1914,Physics,Max von Laue,"""for his discovery of the diffraction of X-rays by crystals""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1914/
1914 - Medicine / Physiology,1914,Medicine / Physiology,Robert Bárány,"""for his work on the physiology and pathology of the vestibular apparatus""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1914/
1914 - Chemestry,1914,Chemestry,Theodore William Richards,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1914/
1915 - Chemestry,1915,Chemestry,Richard Willstätter,"""for his researches on plant pigments, especially chlorophyll""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1915/
1915 - Literature,1915,Literature,Romain Rolland,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1915/
1915 - Physics,1915,Physics,"William Henry Bragg, William Lawrence Bragg","""for their services in the analysis of crystal structure by means of X-rays""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1915/
1916 - Literature,1916,Literature,Verner von Heidenstam,"""in recognition of his significance as the leading representative of a new era in our literature""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1916/
1917 - Physics,1917,Physics,Charles Glover Barkla,"""for his discovery of the characteristic Röntgen radiation of the elements""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1917/
1917 - Peace,1917,Peace,International Committee of the Red Cross,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1917/
1917 - Literature,1917,Literature,"Karl Adolph Gjellerup, Henrik Pontoppidan","""for his varied and rich poetry, which is inspired by lofty ideals""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1917/
1918 - Chemestry,1918,Chemestry,Fritz Haber,"""for the synthesis of ammonia from its elements""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1918/
1918 - Physics,1918,Physics,Max Planck,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1918/
1919 - Literature,1919,Literature,Carl Spitteler,"""in special appreciation of his epic, Olympian Spring""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1919/
1919 - Physics,1919,Physics,Johannes Stark,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1919/
1919 - Medicine / Physiology,1919,Medicine / Physiology,Jules Bordet,"""for his discoveries relating to immunity""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1919/
1919 - Peace,1919,Peace,Woodrow Wilson,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1919/
1920 - Medicine / Physiology,1920,Medicine / Physiology,August Krogh,"""for his discovery of the capillary motor regulating mechanism""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1920/
1920 - Physics,1920,Physics,Charles Édouard Guillaume,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1920/
1920 - Literature,1920,Literature,Knut Hamsun,"""for his monumental work, Growth of the Soil""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1920/
1920 - Peace,1920,Peace,Léon Bourgeois,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1920/
1920 - Chemestry,1920,Chemestry,Walther Nernst,"""in recognition of his work in thermochemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1920/
1921 - Physics,1921,Physics,Albert Einstein,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1921/
1921 - Literature,1921,Literature,Anatole France,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1921/
1921 - Chemestry,1921,Chemestry,Frederick Soddy,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1921/
1921 - Peace,1921,Peace,"Christian Lous Lange, Hjalmar Branting",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1921/
1922 - Medicine / Physiology,1922,Medicine / Physiology,"Archibald Hill, Otto Fritz Meyerhof","""for his discovery relating to the production of heat in the muscle""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1922/
1922 - Chemestry,1922,Chemestry,Francis William Aston,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1922/
1922 - Peace,1922,Peace,Fridtjof Nansen,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1922/
1922 - Literature,1922,Literature,Jacinto Benavente,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1922/
1922 - Physics,1922,Physics,Niels Bohr,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1922/
1923 - Medicine / Physiology,1923,Medicine / Physiology,"Frederick Banting, John James Rickard Macleod","""for the discovery of insulin""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1923/
1923 - Chemestry,1923,Chemestry,Fritz Pregl,"""for his invention of the method of micro-analysis of organic substances""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1923/
1923 - Physics,1923,Physics,Robert Andrews Millikan,"""for his work on the elementary charge of electricity and on the photoelectric effect""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1923/
1923 - Literature,1923,Literature,W. B. Yeats,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1923/
1924 - Physics,1924,Physics,Manne Siegbahn,"""for his discoveries and research in the field of X-ray spectroscopy""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1924/
1924 - Medicine / Physiology,1924,Medicine / Physiology,Willem Einthoven,"""for his discovery of the mechanism of the electrocardiogram""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1924/
1924 - Literature,1924,Literature,Władysław Reymont,"""for his great national epic, The Peasants""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1924/
1925 - Peace,1925,Peace,"Charles G. Dawes, Austen Chamberlain",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1925/
1925 - Literature,1925,Literature,George Bernard Shaw,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1925/
1925 - Physics,1925,Physics,"James Franck, Gustav Ludwig Hertz","""for their discovery of the laws governing the impact of an electron upon an atom""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1925/
1925 - Chemestry,1925,Chemestry,Richard Adolf Zsigmondy,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1925/
1926 - Peace,1926,Peace,"Gustav Stresemann, Aristide Briand",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1926/
1926 - Literature,1926,Literature,Grazia Deledda,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1926/
1926 - Physics,1926,Physics,Jean Baptiste Perrin,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1926/
1926 - Medicine / Physiology,1926,Medicine / Physiology,Johannes Fibiger,"""for his discovery of the Spiroptera carcinoma""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1926/
1926 - Chemestry,1926,Chemestry,Theodor Svedberg,"""for his work on disperse systems""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1926/
1927 - Physics,1927,Physics,"Charles Thomson Rees Wilson, Arthur Compton","""for his discovery of the effect named after him""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1927/
1927 - Peace,1927,Peace,"Ludwig Quidde, Ferdinand Buisson",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1927/
1927 - Chemestry,1927,Chemestry,Heinrich Otto Wieland,"""for his investigations of the constitution of the bile acids and related substances""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1927/
1927 - Literature,1927,Literature,Henri Bergson,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1927/
1927 - Medicine / Physiology,1927,Medicine / Physiology,Julius Wagner-Jauregg,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1927/
1928 - Chemestry,1928,Chemestry,Adolf Otto Reinhold Windaus,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1928/
1928 - Medicine / Physiology,1928,Medicine / Physiology,Charles Nicolle,"""for his work on typhus""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1928/
1928 - Physics,1928,Physics,Owen Willans Richardson,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1928/
1928 - Literature,1928,Literature,Sigrid Undset,"""principally for her powerful descriptions of Northern life during the Middle Ages""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1928/
1929 - Chemestry,1929,Chemestry,"Hans von Euler-Chelpin, Arthur Harden","""for their investigations on the fermentation of sugar and fermentative enzymes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1929/
1929 - Medicine / Physiology,1929,Medicine / Physiology,"Christiaan Eijkman, Frederick Gowland Hopkins","""for his discovery of the antineuritic vitamin""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1929/
1929 - Peace,1929,Peace,Frank B. Kellogg,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1929/
1929 - Physics,1929,Physics,Louis de Broglie,"""for his discovery of the wave nature of electrons""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1929/
1929 - Literature,1929,Literature,Thomas Mann,"""principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1929/
1930 - Physics,1930,Physics,C. V. Raman,"""for his work on the scattering of light and for the discovery of the effect named after him""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1930/
1930 - Chemestry,1930,Chemestry,Hans Fischer,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1930/
1930 - Medicine / Physiology,1930,Medicine / Physiology,Karl Landsteiner,"""for his discovery of human blood groups""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1930/
1930 - Peace,1930,Peace,Nathan Söderblom,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1930/
1930 - Literature,1930,Literature,Sinclair Lewis,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1930/
1931 - Chemestry,1931,Chemestry,"Carl Bosch, Friedrich Bergius","""in recognition of their contributions to the invention and development of chemical high pressure methods""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1931/
1931 - Literature,1931,Literature,Erik Axel Karlfeldt,"""The poetry of Erik Axel Karlfeldt""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1931/
1931 - Peace,1931,Peace,"Nicholas Murray Butler, Jane Addams",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1931/
1931 - Medicine / Physiology,1931,Medicine / Physiology,Otto Heinrich Warburg,"""for his discovery of the nature and mode of action of the respiratory enzyme""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1931/
1932 - Medicine / Physiology,1932,Medicine / Physiology,"Charles Scott Sherrington, Edgar Adrian","""for their discoveries regarding the functions of neurons""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1932/
1932 - Chemestry,1932,Chemestry,Irving Langmuir,"""for his discoveries and investigations in surface chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1932/
1932 - Literature,1932,Literature,John Galsworthy,"""for his distinguished art of narration which takes its highest form in The Forsyte Saga""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1932/
1932 - Physics,1932,Physics,Werner Heisenberg,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1932/
1933 - Physics,1933,Physics,"Paul Dirac, Erwin Schrödinger","""for the discovery of new productive forms of atomic theory""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1933/
1933 - Literature,1933,Literature,Ivan Bunin,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1933/
1933 - Peace,1933,Peace,Norman Angell,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1933/
1933 - Medicine / Physiology,1933,Medicine / Physiology,Thomas Hunt Morgan,"""for his discoveries concerning the role played by the chromosome in heredity""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1933/
1934 - Peace,1934,Peace,Arthur Henderson,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1934/
1934 - Medicine / Physiology,1934,Medicine / Physiology,"George Whipple, George Minot, William P. Murphy","""for their discoveries concerning liver therapy in cases of anaemia""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1934/
1934 - Chemestry,1934,Chemestry,Harold Urey,"""for his discovery of heavy hydrogen""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1934/
1934 - Literature,1934,Literature,Luigi Pirandello,"""for his bold and ingenious revival of dramatic and scenic art""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1934/
1935 - Peace,1935,Peace,Carl von Ossietzky,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1935/
1935 - Chemestry,1935,Chemestry,"Irène Joliot-Curie, Frédéric Joliot-Curie","""in recognition of their synthesis of new radioactive elements""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1935/
1935 - Medicine / Physiology,1935,Medicine / Physiology,Hans Spemann,"""for his discovery of the organizer effect in embryonic development""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1935/
1935 - Physics,1935,Physics,James Chadwick,"""for the discovery of the neutron""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1935/
1936 - Peace,1936,Peace,Carlos Saavedra Lamas,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1936/
1936 - Literature,1936,Literature,Eugene O'Neill,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1936/
1936 - Medicine / Physiology,1936,Medicine / Physiology,"Otto Loewi, Henry Hallett Dale","""for their discoveries relating to chemical transmission of nerve impulses""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1936/
