ID,Year,Award,Winner,Award Motivation,Link on official website
1979 - Economics,1979,Economics,"Arthur Lewis, Theodore Schultz","""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1979/
1980 - Peace,1980,Peace,Adolfo Pérez Esquivel,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1980/
1980 - Medicine / Physiology,1980,Medicine / Physiology,"George Davis Snell, Baruj Benacerraf, Jean Dausset","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1980/
1980 - Literature,1980,Literature,Czesław Miłosz,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1980/
1980 - Physics,1980,Physics,"James Cronin, Val Logsdon Fitch","""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1980/
1980 - Economics,1980,Economics,Lawrence Klein,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1980/
1980 - Chemestry,1980,Chemestry,"Frederick Sanger, Walter Gilbert, Paul Berg","""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1980/
1981 - Literature,1981,Literature,Elias Canetti,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1981/
1981 - Economics,1981,Economics,James Tobin,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1981/
1981 - Chemestry,1981,Chemestry,"Kenichi Fukui, Roald Hoffmann","""for their theories, developed independently, concerning the course of chemical reactions""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1981/
1981 - Physics,1981,Physics,"Nicolaas Bloembergen, Kai Siegbahn, Arthur Leonard Schawlow","""for their contribution to the development of laser spectroscopy""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1981/
1981 - Medicine / Physiology,1981,Medicine / Physiology,"Roger Wolcott Sperry, David H. Hubel, Torsten Wiesel","""for his discoveries concerning the functional specialization of the cerebral hemispheres""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1981/
1981 - Peace,1981,Peace,United Nations High Commissioner for Refugees,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1981/
1982 - Chemestry,1982,Chemestry,Aaron Klug,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1982/
1982 - Peace,1982,Peace,"Alva Myrdal, Alfonso García Robles",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1982/
1982 - Literature,1982,Literature,Gabriel García Márquez,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1982/
1982 - Economics,1982,Economics,George Stigler,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1982/
1982 - Physics,1982,Physics,Kenneth G. Wilson,"""for his theory for critical phenomena in connection with phase transitions""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1982/
1982 - Medicine / Physiology,1982,Medicine / Physiology,"John Vane, Bengt I. Samuelsson, Sune Bergström","""for their discoveries concerning prostaglandins and related biologically active substances""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1982/
1983 - Medicine / Physiology,1983,Medicine / Physiology,Barbara McClintock,"""for her discovery of mobile genetic elements""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1983/
1983 - Economics,1983,Economics,Gérard Debreu,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1983/
1983 - Chemestry,1983,Chemestry,Henry Taube,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1983/
1983 - Peace,1983,Peace,Lech Wałęsa,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1983/
1983 - Physics,1983,Physics,"Subrahmanyan Chandrasekhar, William Alfred Fowler","""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1983/
1983 - Literature,1983,Literature,William Golding,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1983/
