School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Lafayette Elementary,Lafayette,Contra Costa County,,85%,10%,0%,5%,11%,11%,13%,6%,6%,3%,2%,1%,349,296,35,1,17,311,310,305,327,328,100%,4,"37.896204,-122.116068",620310,"Burton Valley Elementary,Happy Valley Elementary,Lafayette Elementary,Springhill Elementary"
San Joaquin County Office of Education,Stockton,San Joaquin County,,93%,0%,0%,7%,7%,7%,7%,7%,7%,,47%,,67,62,0,0,5,62,62,62,62,62,100%,2,"37.905832,-121.22968",691031,"Venture Academy,San Joaquin County Special Education"
Valley Home Joint Elementary,Valley Home,Stanislaus County,,95%,0%,0%,5%,5%,5%,5%,5%,5%,25%,43%,8%,21,20,0,0,1,20,20,20,20,20,100%,1,"37.909065,-120.876527",640800,Valley Home Elementary
Brentwood Union Elementary,Brentwood,Contra Costa County,,93%,3%,0%,4%,6%,5%,6%,5%,4%,9%,22%,5%,871,812,25,0,34,818,825,820,831,833,100%,8,"37.910508,-121.748339",605910,"Pioneer Elementary,Marsh Creek Elementary,Mary Casey Black Elementary,Brentwood Elementary,Garin Elementary,Ron Nunn Elementary,Loma Vista Elementary,R. Paul Krey Elementary"
Larkspur-Corte Madera,Corte Madera,Marin County,,62%,29%,0%,9%,30%,23%,29%,13%,12%,5%,8%,2%,196,122,57,0,17,137,150,139,171,173,100%,1,"37.924139,-122.499366",620910,Neil Cummins Elementary
Curtis Creek Elementary,Sonora,Tuolumne County,,60%,33%,0%,7%,38%,40%,36%,16%,13%,15%,45%,7%,45,27,15,0,3,28,27,29,38,39,100%,1,"37.953883,-120.306342",610320,Curtis Creek Elementary
Sonora Elementary,Sonora,Tuolumne County,,89%,2%,0%,9%,11%,9%,9%,9%,9%,22%,40%,12%,98,87,2,0,9,87,89,89,89,89,100%,1,"37.955296,-120.363282",637230,Sonora Elementary
Stockton Unified,Stockton,San Joaquin County,,96%,4%,0%,0%,3%,3%,3%,1%,1%,36%,81%,25%,3487,3344,124,3,16,3378,3386,3391,3438,3454,100%,47,"37.955395,-121.270258",638010,"George W. Bush Elementary,Aspire Rosa Parks Academy,John Marshall Elementary,Maxine Hong Kingston Elementary,Pittman Charter,Wilhelmina Henry Elementary,John C. Fremont Elementary,Alexander Hamilton Elementary,Aspire Port City Academy,Valentine Peyton Elementary,Dr. Lewis Dolphin Stallworth Sr. Charter,Spanos (Alex G.) Elementary,Stockton Collegiate International Elementary,Aspire Apex Academy,Primary Years Academy,Team Charter,Adams Elementary,August Elementary,Cleveland Elementary,El Dorado Elementary,Elmwood Elementary,King Elementary,Fillmore Elementary,Grunsky Elementary,Harrison Elementary,Hazelton Elementary,Hoover Elementary,Kennedy Elementary,Madison Elementary,Mckinley Elementary,Monroe Elementary,Montezuma Elementary,Nightingale Charter,Pulliam Elementary,Roosevelt Elementary,Taft Elementary,Taylor Leadership Academy,Tyler Skills Elementary,Van Buren Elementary,Victory Elementary,Wilson Elementary,Commodore Stockton Skills,Kohl Open Elementary,George Washington Elementary,Rio Calaveras Elementary,San Joaquin Elementary,Dolores Huerta Elementary"
Kentfield Elementary,Kentfield,Marin County,,83%,14%,0%,3%,10%,8%,8%,8%,5%,5%,3%,2%,154,128,21,0,5,139,141,142,142,146,100%,1,"37.957153,-122.601212",619380,Anthony G. Bacich Elementary
Mt. Diablo Unified,Pittsburg,Contra Costa County,,95%,3%,0%,2%,4%,4%,4%,3%,2%,14%,41%,7%,2741,2602,93,2,44,2633,2643,2633,2662,2683,100%,28,"37.959929,-121.982576",626370,"Delta View Elementary,Ayers Elementary,Bancroft Elementary,Bel Air Elementary,Cambridge Elementary,El Monte Elementary,Fair Oaks Elementary,Hidden Valley Elementary,Highlands Elementary,Meadow Homes Elementary,Monte Gardens Elementary,Mountain View Elementary,Mt. Diablo Elementary,Pleasant Hill Elementary,Sequoia Elementary,Shore Acres Elementary,Silverwood Elementary,Strandwood Elementary,Sun Terrace Elementary,Valhalla Elementary,Valle Verde Elementary,Walnut Acres Elementary,Westwood Elementary,Woodside Elementary,Wren Avenue Elementary,Ygnacio Valley Elementary,Rio Vista Elementary,Gregory Gardens Elementary"
Ross Elementary,Ross,Marin County,,92%,4%,0%,4%,4%,4%,4%,8%,4%,8%,0%,6%,49,45,2,0,2,47,47,47,45,47,100%,1,"37.963573,-122.564144",633660,Ross Elementary
Knightsen Elementary,Knightsen,Contra Costa County,,98%,2%,0%,0%,0%,0%,2%,0%,0%,19%,34%,18%,55,54,1,0,0,55,55,54,55,55,100%,1,"37.965167,-121.6123",620040,Knightsen Elementary
Eastern Sierra Unified,Coleville,Mono County,,95%,5%,0%,0%,5%,0%,0%,0%,0%,26%,40%,5%,21,20,1,0,0,20,21,21,21,21,100%,1,"37.970612,-118.888953",611870,Antelope Elementary
West Contra Costa Unified,Richmond,Contra Costa County,,97%,2%,0%,1%,3%,3%,3%,2%,2%,18%,62%,11%,2765,2675,50,1,39,2687,2694,2693,2709,2721,100%,37,"37.973028,-122.331004",632550,"Richmond College Preparatory,Bayview Elementary,Collins Elementary,Coronado Elementary,Dover Elementary,Ellerhorst Elementary,Highland Elementary,Fairmont Elementary,Ford Elementary,Grant Elementary,Harding Elementary,Kensington Elementary,Lake Elementary,Lincoln Elementary,Madera Elementary,Mira Vista Elementary,Montalvin Manor Elementary,Murphy Elementary,Nystrom Elementary,Olinda Elementary,Peres Elementary,King Elementary,Riverside Elementary,Shannon Elementary,Sheldon Elementary,Stege Elementary,Stewart Elementary,Tara Hills Elementary,Valley View Elementary,Verde Elementary,Washington Elementary,Wilson Elementary,Edward M. Downer Elementary,Lupine Hills Elementary,Ohlone Elementary,Hanna Ranch Elementary,Cesar E. Chavez Elementary"
Martinez Unified,Martinez,Contra Costa County,,94%,1%,0%,4%,5%,5%,6%,4%,4%,10%,24%,5%,316,298,4,0,14,301,301,298,302,302,100%,4,"37.977683,-122.149715",624030,"John Muir Elementary,John Swett Elementary,Las Juntas Elementary,Morello Park Elementary"
Bolinas-Stinson Union,Bolinas,Marin County,,38%,23%,0%,38%,54%,62%,46%,38%,38%,24%,24%,13%,13,5,3,0,5,6,5,7,8,8,100%,1,"37.978661,-122.792894",605520,Bolinas-Stinson Elementary
Antioch Unified,Antioch,Contra Costa County,,89%,9%,0%,2%,8%,7%,7%,4%,4%,17%,60%,12%,1432,1277,123,2,30,1313,1337,1334,1371,1373,100%,17,"37.978985,-121.806618",602850,"Lone Tree Elementary,Carmen Dragon Elementary,Orchard Park,Antioch Charter Academy Ii,R.A.A.M.P. Charter Academy,Belshaw Elementary,Fremont Elementary,Kimball Elementary,Marsh Elementary,Sutter Elementary,Turner Elementary,Mission Elementary,Muir (John) Elementary,Jack London Elementary,Grant Elementary,Antioch Charter Academy,Diablo Vista Elementary"
San Rafael City Elementary,San Rafael,Marin County,,73%,26%,0%,1%,21%,18%,19%,12%,9%,17%,59%,8%,607,442,159,0,6,479,496,494,536,552,100%,8,"37.980912,-122.481698",635090,"Short Elementary,Bahia Vista Elementary,Coleman Elementary,Venetia Valley Elementary,Glenwood Elementary,Laurel Dell Elementary,San Pedro Elementary,Sun Valley Elementary"
Soulsbyville Elementary,Soulsbyville,Tuolumne County,,69%,24%,0%,7%,31%,29%,29%,10%,10%,13%,40%,5%,58,40,14,0,4,40,41,41,52,52,100%,1,"37.988349,-120.270212",637320,Soulsbyville Elementary
Ross Valley Elementary,San Anselmo,Marin County,,83%,2%,0%,15%,16%,16%,16%,16%,15%,8%,8%,4%,272,225,6,0,41,229,229,229,229,231,100%,4,"37.993718,-122.592775",600006,"Hidden Valley Elementary,Manor Elementary,Brookside Elementary,Wade Thomas Elementary"
Lincoln Unified,Stockton,San Joaquin County,,96%,3%,1%,1%,3%,3%,3%,2%,1%,18%,55%,10%,594,570,17,3,4,576,576,577,583,587,100%,8,"37.999565,-121.362201",621690,"Colonial Heights,John R. Williams,Lincoln Elementary,Tully C. Knoles,Mable Barron,Claudia Landeen,Don Riggio,Brookside"
Pittsburg Unified,Pittsburg,Contra Costa County,,98%,2%,0%,0%,2%,2%,2%,1%,1%,27%,74%,15%,980,958,18,0,4,962,965,964,972,974,100%,8,"38.002788,-121.88937",630600,"Marina Vista Elementary,Heights Elementary,Highlands Elementary,Los Medanos Elementary,Parkside Elementary,Willow Cove Elementary,Foothill Elementary,Stoneman Elementary"
Lagunitas Elementary,San Geronimo,Marin County,,28%,14%,0%,59%,66%,66%,62%,69%,62%,2%,16%,0%,29,8,4,0,17,10,10,11,9,11,100%,2,"38.007691,-122.672184",620520,"Lagunitas Elementary,San Geronimo Valley Elementary"
Mark Twain Union Elementary,Copperopolis,Calaveras County,,83%,7%,0%,10%,16%,15%,15%,14%,13%,18%,49%,6%,88,73,6,0,9,74,75,75,76,77,100%,2,"38.023378,-120.630028",623970,"Copperopolis Elementary,Mark Twain Elementary"
Dixie Elementary,San Rafael,Marin County,,94%,1%,0%,5%,5%,5%,5%,6%,5%,7%,11%,2%,249,234,3,0,12,237,236,236,234,237,100%,3,"38.028517,-122.529289",611220,"Dixie Elementary,Mary E. Silveira Elementary,Vallecito Elementary"
John Swett Unified,Rodeo,Contra Costa County,,97%,3%,0%,0%,2%,2%,1%,1%,1%,22%,62%,11%,150,145,5,0,0,147,147,148,149,149,100%,1,"38.032086,-122.223442",618990,Rodeo Hills Elementary
Oakley Union Elementary,Oakley,Contra Costa County,,94%,2%,0%,4%,6%,5%,6%,5%,4%,12%,42%,6%,605,568,11,2,24,570,574,570,575,578,100%,5,"38.034168,-121.663699",628080,"Iron House Elementary,Oakley Elementary,Gehringer Elementary,Laurel Elementary,Vintage Parkway Elementary"
Summerville Elementary,Tuolumne,Tuolumne County,,88%,0%,0%,13%,13%,13%,13%,13%,13%,15%,40%,12%,56,49,0,0,7,49,49,49,49,49,100%,1,"38.040646,-119.837273",638250,Summerville Elementary
Columbia Union,Columbia,Tuolumne County,,77%,7%,0%,17%,22%,20%,23%,20%,22%,18%,50%,9%,60,46,4,0,10,47,48,46,48,47,100%,1,"38.043731,-120.428275",609480,Columbia Elementary
Linden Unified,Stockton,San Joaquin County,,94%,3%,0%,3%,5%,5%,6%,4%,3%,23%,51%,13%,166,156,5,0,5,157,157,156,160,161,100%,3,"38.054919,-121.051827",621810,"Glenwood Elementary,Linden Elementary,Waverly Elementary"
Belleview Elementary,Sonora,Tuolumne County,,80%,0%,0%,20%,20%,20%,20%,20%,20%,13%,51%,9%,20,16,0,0,4,16,16,16,16,16,100%,1,"38.055861,-120.296158",604500,Belleview Elementary
Benicia Unified,Benicia,Solano County,,91%,6%,0%,2%,8%,7%,8%,3%,3%,7%,19%,4%,372,340,23,1,8,344,347,341,360,360,100%,4,"38.092712,-122.138105",604620,"Mary Farmar Elementary,Robert Semple Elementary,Joe Henderson Elementary,Matthew Turner Elementary"
Novato Unified,Novato,Marin County,,92%,4%,0%,4%,6%,6%,6%,5%,4%,9%,33%,4%,657,607,24,0,26,618,619,617,624,629,100%,9,"38.09827,-122.540366",627720,"Hamilton Meadow Park,Loma Verde Elementary,Lu Sutton Elementary,Lynwood Elementary,Olive Elementary,Pleasant Valley Elementary,Rancho Elementary,San Ramon Elementary,Novato Charter"
Vallejo City Unified,Vallejo,Solano County,,95%,4%,0%,1%,4%,3%,4%,2%,1%,21%,68%,13%,1343,1272,60,0,11,1292,1307,1293,1318,1326,100%,16,"38.11326,-122.281584",640740,"Vallejo Charter,Annie Pennycook Elementary,Beverly Hills Elementary,Johnston Cooper Elementary,Dan Mini Elementary,Cave Language Academy,Mare Island Health And Fitness Academy,Federal Terrace Elementary,Highland Elementary,Lincoln Elementary,Loma Vista Environmental Science Academy,Steffan Manor Elementary,Elsa Widenmann Elementary,Grace Patterson Elementary,Glen Cove Elementary,Joseph H. Wardlaw Elementary"
Lodi Unified,Lodi,San Joaquin County,,95%,3%,0%,1%,4%,4%,4%,2%,1%,20%,61%,12%,2233,2132,71,3,27,2150,2153,2146,2195,2203,100%,32,"38.120549,-121.299515",622230,"Lois E. Borchardt Elementary,Ansel Adams,Ellerth E. Larson Elementary,Manlio Silva Elementary,George Lincoln Mosher,Woodbridge,Podesta Ranch Elementary,Davis Elementary,Erma B. Reese Elementary,George Washington Elementary,Houston,Lakewood Elementary,Lawrence Elementary,Leroy Nichols Elementary,Live Oak Elementary,Lockeford Elementary,Clyde W. Needham Elementary,Vinewood Elementary,Heritage Elementary,Victor Elementary,Oakwood Elementary,Parklane Elementary,Creekside Elementary,Clairmont Elementary,Wagner-Holt Elementary,Beckman Elementary,Westwood Elementary,John Muir Elementary,Aspire Vincent Shalvey Academy,Joe Serna Jr. Charter,Aspire River Oaks Charter,Julia Morgan Elementary"
Summerville Union High,Sonora,Tuolumne County,,76%,0%,3%,21%,24%,24%,24%,24%,24%,9%,48%,9%,33,25,0,1,7,25,25,25,25,25,100%,1,38.141434-119.927617,638280,Gold Rush Charter
New Hope Elementary,Thornton,San Joaquin County,,90%,0%,5%,5%,10%,10%,10%,10%,10%,30%,89%,24%,20,18,0,1,1,18,18,18,18,18,100%,1,"38.157794,-121.520223",626970,New Hope Elementary
Shoreline Unified,Tomales,Marin County,,84%,11%,0%,5%,14%,11%,11%,11%,11%,7%,48%,4%,37,31,4,0,2,32,33,33,33,33,100%,2,"38.185508,-122.948365",636670,"Tomales Elementary,Inverness Elementary"
Petaluma Joint Union High,Petaluma,Sonoma County,,73%,2%,0%,25%,27%,25%,25%,27%,25%,9%,14%,5%,52,38,1,0,13,38,39,39,38,39,100%,1,38.19854-122.634294,630250,Mary Collins Charter School At Cherry Valley
Old Adobe Union,Petaluma,Sonoma County,,95%,3%,0%,2%,5%,4%,4%,2%,2%,10%,36%,5%,245,232,8,0,5,233,235,235,240,240,100%,5,"38.199883,-122.512408",628320,"Bernard Eldridge,La Tercera Elementary,Old Adobe Elementary Charter,Miwok Valley Language Academy Charter,Sonoma Mountain Elementary"
Calaveras County ROP,Angels Camp,Calaveras County,,,,,,,,,,,,,,,,,,,,,,,,0%,1,"38.200511,-120.684148",600091,Calaveras County Rop
Fairfield-Suisun Unified,Fairfield,Solano County,,95%,3%,0%,2%,4%,3%,4%,3%,2%,17%,52%,9%,1665,1589,46,2,28,1594,1608,1604,1623,1629,94%,18,"38.207303,-122.029667",613360,"David A. Weir Elementary,Rolling Hills Elementary,Cordelia Hills Elementary,H. Glenn Richardson,Anna Kyle Elementary,Cleo Gordon Elementary,Crescent Elementary,E. Ruth Sheldon Elementary,Fairview Elementary,K. I. Jones Elementary,Suisun Valley Elementary,Tolenas Elementary,Suisun Elementary,Oakbrook Elementary,Dan O. Root Elementary,B. Gale Wilson Elementary,Laurel Creek Elementary,Nelda Mundy Elementary"
River Delta Joint Unified,Clarksburg,Sacramento County,,90%,7%,0%,3%,9%,6%,7%,4%,4%,18%,48%,5%,187,169,13,0,5,171,176,173,179,180,100%,5,"38.215053,-121.675797",633110,"Delta Elementary Charter,Bates Elementary,Isleton Elementary,Walnut Grove Elementary,D. H. White Elementary"
Solano County Office of Education,Fairfield,Solano County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,,28%,,10,10,0,0,0,10,10,10,10,10,100%,1,"38.217343,-122.144224",691122,Solano County Special Education
Wilmar Union Elementary,Petaluma,Sonoma County,,48%,45%,0%,7%,45%,36%,48%,25%,27%,13%,22%,3%,44,21,20,0,3,24,28,23,33,32,100%,1,"38.229088,-122.690344",642750,Wilson Elementary
Twain Harte,Twain Harte,Tuolumne County,,93%,0%,0%,7%,7%,7%,7%,7%,7%,11%,54%,6%,41,38,0,0,3,38,38,38,38,38,100%,1,"38.239691,-119.982511",640200,Black Oak Elementary
Calaveras Unified,Rail Road Flat,Calaveras County,,77%,15%,0%,8%,20%,18%,22%,12%,10%,19%,49%,8%,259,200,38,0,21,207,212,203,227,233,100%,5,"38.249621,-120.620577",606870,"Rail Road Flat Elementary,San Andreas Elementary,Valley Springs Elementary,West Point Elementary,Jenny Lind Elementary"
Oak View Union Elementary,Acampo,San Joaquin County,,95%,0%,0%,5%,5%,5%,5%,5%,5%,27%,42%,12%,44,42,0,0,2,42,42,42,42,42,100%,1,"38.250538,-121.14357",627930,Oak View Elementary
Galt Joint Union Elementary,Galt,Sacramento County,,94%,1%,0%,5%,6%,6%,6%,6%,5%,23%,59%,11%,377,355,3,0,19,356,355,356,356,357,100%,5,"38.255118,-121.31276",614790,"Lake Canyon Elementary,Vernon E. Greer Elementary,Valley Oaks Elementary,River Oaks Elementary,Marengo Ranch Elementary"
Cinnabar Elementary,Petaluma,Sonoma County,,62%,38%,0%,0%,38%,36%,36%,17%,17%,17%,55%,3%,42,26,16,0,0,26,27,27,35,35,100%,2,"38.256265,-122.665418",608700,"Cinnabar Elementary,Cinnabar Charter"
Petaluma City Elementary,Petaluma,Sonoma County,,85%,2%,0%,14%,14%,14%,14%,14%,14%,19%,33%,7%,348,295,6,0,47,299,298,300,298,301,100%,7,"38.256767,-122.617274",630230,"Grant Elementary,Mcdowell Elementary,Mckinley Elementary,Mcnear Elementary,Penngrove Elementary,Valley Vista Elementary,Live Oak Charter"
Two Rock Union,Petaluma,Sonoma County,,83%,17%,0%,0%,17%,13%,13%,4%,4%,12%,32%,4%,23,19,4,0,0,19,20,20,22,22,100%,1,"38.265436,-122.777657",640260,Two Rock Elementary
Travis Unified,Fairfield,Solano County,,93%,6%,0%,1%,5%,4%,5%,2%,3%,10%,19%,4%,381,356,21,0,4,361,364,361,375,370,100%,5,"38.282221,-121.924715",639630,"Center Elementary,Travis Elementary,Scandia Elementary,Cambridge Elementary,Foxboro Elementary"
Liberty Elementary,Simi Valley,Sonoma County,,78%,10%,0%,12%,19%,19%,21%,17%,14%,11%,43%,3%,125,97,13,0,15,101,101,99,104,107,100%,3,"38.282745,-122.709724",621540,"California Virtual Academy @ Sonoma,Liberty Primary,Liberty Elementary"
Waugh Elementary,Petaluma,Sonoma County,,87%,12%,0%,2%,5%,9%,7%,3%,6%,6%,11%,0%,129,112,15,0,2,122,118,120,125,121,100%,2,"38.28847,-122.636577",641790,"Meadow Elementary,Corona Creek Elementary"
Sonoma Valley Unified,Sonoma,Sonoma County,,94%,4%,0%,3%,5%,5%,5%,4%,4%,14%,50%,8%,418,391,15,0,12,398,396,399,400,402,100%,7,"38.29082,-122.470325",637200,"Woodland Star Charter,Dunbar Elementary,El Verano Elementary,Flowery Elementary,Prestwood Elementary,Sassarini Elementary,Sonoma Charter"
Vallecito Union,Arnold,Calaveras County,,73%,12%,0%,15%,23%,20%,26%,18%,18%,5%,35%,6%,74,54,9,0,11,57,59,55,61,61,100%,2,"38.312139,-120.278284",640680,"Hazel Fischer Elementary,Albert A. Michelson Elementary"
Dunham Elementary,Petaluma,Sonoma County,,93%,7%,0%,0%,7%,7%,7%,4%,4%,16%,22%,2%,28,26,2,0,0,26,26,26,27,27,100%,1,"38.315693,-122.757456",611610,Dunham Charter
Napa Valley Unified,Napa,Napa County,,94%,3%,0%,3%,6%,5%,5%,4%,4%,13%,39%,8%,1424,1333,45,0,46,1344,1351,1346,1363,1373,100%,20,"38.338187,-122.276301",626640,"Stone Bridge,Canyon Oaks Elementary,Alta Heights Elementary,Bel Aire Park Elementary,Browns Valley Elementary,Donaldson Way Elementary,El Centro Elementary,Mcpherson Elementary,Mt. George International,Napa Junction Elementary,Northwood Elementary,Phillips Charter,Pueblo Vista Elementary,Salvador Elementary,Shearer Charter,Snow Elementary,Vichy Elementary,West Park Elementary,Napa Valley Language Academy,Yountville Elementary"
Cotati-Rohnert Park Unified,Rohnert Park,Sonoma County,,96%,2%,0%,2%,2%,2%,3%,3%,2%,11%,37%,7%,453,434,10,0,9,442,442,438,441,444,100%,6,"38.339256,-122.70712",609940,"University Elementary At La Fiesta,John Reed Elementary,Thomas Page Elementary,Evergreen Elementary,Marguerite Hahn Elementary,Monte Vista Elementary"
Arcohe Union Elementary,Herald,Sacramento County,,97%,0%,0%,3%,3%,3%,3%,3%,3%,35%,47%,13%,30,29,0,0,1,29,29,29,29,29,100%,1,"38.342268,-121.174195",603060,Arcohe Elementary
Gravenstein Union Elementary,Sebastopol,Sonoma County,,68%,14%,0%,17%,30%,32%,31%,17%,27%,12%,9%,9%,98,67,14,0,17,69,67,68,81,72,100%,1,"38.360397,-122.784213",615840,Gravenstein Elementary
Twin Hills Union Elementary,Sebastopol,Sonoma County,,70%,5%,0%,25%,30%,28%,27%,25%,26%,10%,17%,2%,117,82,6,0,29,82,84,85,88,87,100%,3,"38.364779,-122.848384",640230,"Orchard View,Sunridge Charter,Apple Blossom"
Harmony Union Elementary,Occidental,Sonoma County,,61%,2%,0%,38%,38%,38%,38%,39%,39%,11%,26%,2%,64,39,1,0,24,40,40,40,39,39,100%,2,"38.37543,-122.985795",616620,"Harmony Elementary,Pathways Charter"
Vacaville Unified,Vacaville,Solano County,,96%,2%,0%,2%,4%,3%,3%,3%,3%,14%,38%,8%,938,900,18,2,18,904,907,908,910,914,100%,10,"38.382394,-121.987355",640590,"Alternative Cooperative Education Charter,Alamo Elementary,Edwin Markham Elementary,Eugene Padan Elementary,Fairmont Charter Elementary,Hemlock Elementary,Orchard Elementary,Jean Callison Elementary,Browns Valley Elementary,Cooper Elementary"
Bennett Valley Union Elementary,Santa Rosa,Sonoma County,,91%,4%,0%,5%,5%,5%,6%,8%,5%,8%,14%,1%,168,153,6,0,9,159,159,158,154,159,100%,1,"38.387102,-122.634919",604650,Yulupa Elementary
Bellevue Union Elementary,Santa Rosa,Sonoma County,,98%,2%,0%,1%,2%,2%,2%,1%,1%,27%,78%,14%,328,320,5,0,3,323,322,320,324,324,100%,4,"38.39334,-122.701256",604380,"Taylor Mountain Elementary,Bellevue Elementary,Kawana Elementary,Meadow View Elementary"
Dixon Unified,Dixon,Solano County,,97%,3%,0%,0%,2%,2%,1%,1%,0%,12%,53%,7%,221,214,7,0,0,216,217,219,218,221,100%,3,"38.401872,-121.795292",611280,"Anderson (Linford L.) Elementary,Tremont Elementary,Gretchen Higgins Elementary"
Sebastopol Union Elementary,Sebastopol,Sonoma County,,57%,9%,0%,34%,42%,43%,42%,43%,43%,13%,29%,6%,124,71,11,0,42,72,71,72,71,71,100%,4,"38.408936,-122.83482",636180,"Reach,Brook Haven Elementary,Park Side Elementary,Sebastopol Independent Charter"
Kenwood,Kenwood,Sonoma County,,90%,0%,5%,5%,10%,10%,10%,10%,10%,8%,11%,3%,20,18,0,1,1,18,18,18,18,18,100%,1,"38.418604,-122.533046",619410,Kenwood Elementary
Wright Elementary,Santa Rosa,Sonoma County,,98%,1%,0%,1%,2%,2%,2%,1%,1%,14%,55%,12%,230,225,3,0,2,226,226,225,227,228,100%,3,"38.422229,-122.76302",643200,"Wright Charter,J. X. Wilson Elementary,Robert L. Stevens Elementary"
Roseland,Santa Rosa,Sonoma County,,98%,1%,0%,0%,2%,2%,1%,1%,1%,20%,78%,15%,312,306,4,1,1,306,306,308,308,309,100%,4,"38.426147,-122.731919",633510,"Roseland Charter,Roseland Creek Elementary,Roseland Elementary,Sheppard Elementary"
Elk Grove Unified,Elk Grove,Sacramento County,,94%,3%,0%,2%,5%,4%,4%,3%,3%,21%,42%,11%,4237,3990,136,6,105,4040,4062,4067,4089,4111,100%,40,"38.441333,-121.271197",612330,"Edna Batey Elementary,Arlene Hein Elementary,Roy Herburger Elementary,Arnold Adreani Elementary,Helen Carr Castello Elementary,Carroll Elementary,California Montessori Project - Elk Grove Campus,Sunrise Elementary,Anna Kirchgater Elementary,Charles E. Mack Elementary,Cosumnes River Elementary,David Reese Elementary,C. W. Dillard Elementary,Elk Grove Elementary,Florin Elementary,Franklin Elementary,James A. Mckee Elementary,Pleasant Grove Elementary,Samuel Kennedy Elementary,Sierra-Enterprise Elementary,Herman Leimbach Elementary,Florence Markofer Elementary,Prairie Elementary,Ellen Feickert Elementary,Isabelle Jackson Elementary,Foulks Ranch Elementary,Union House Elementary,John Reith Elementary,Arthur C. Butler Elementary,John Ehrhardt Elementary,Mary Tsukamoto Elementary,Elitha Donner Elementary,Barbara Comstock Morse Elementary,Maeola E. Beitzel Elementary,Joseph Sims Elementary,Raymond Case Elementary,Stone Lake Elementary,Irene B. West Elementary,Robert J. Fite Elementary,Elliott Ranch Elementary"
Oak Grove Union Elementary,Sebastopol,Sonoma County,,80%,0%,0%,20%,20%,20%,20%,20%,20%,14%,20%,4%,71,57,0,0,14,57,57,57,57,57,100%,1,"38.44203,-122.85279",627840,Oak Grove Elementary
Monte Rio Union Elementary,Monte Rio,Sonoma County,,63%,6%,0%,31%,38%,38%,38%,38%,38%,4%,51%,9%,16,10,1,0,5,10,10,10,10,10,100%,1,"38.442765,-123.089021",625410,Monte Rio Elementary
Amador County Unified,Ione,Amador County,,82%,9%,0%,10%,16%,15%,18%,13%,11%,16%,42%,6%,291,238,25,0,28,245,246,240,253,258,100%,6,"38.44355,-120.653856",602450,"Ione Elementary,Jackson Elementary,Pine Grove Elementary,Pioneer Elementary,Plymouth Elementary,Sutter Creek Elementary"
Santa Rosa Elementary,Santa Rosa,Sonoma County,,94%,4%,0%,3%,4%,4%,5%,4%,3%,17%,56%,11%,1025,961,36,2,26,986,987,978,986,991,100%,14,"38.454774,-122.720671",635810,"Santa Rosa Charter School For The Arts,Santa Rosa French-American Charter (Srfacs),Cesar Chavez Language Academy,Brook Hill Elementary,Luther Burbank Elementary,Abraham Lincoln Elementary,James Monroe Elementary,Proctor Terrace Elementary,Steele Lane Elementary,Helen M. Lehman Elementary,Hidden Valley Elementary,Albert F. Biella Elementary,Santa Rosa Charter,Kid Street Learning Center Charter"
Sonoma County Office of Education,Santa Rosa,Sonoma County,,61%,32%,0%,7%,39%,36%,39%,7%,11%,,28%,,28,17,9,0,2,17,18,17,26,25,100%,1,"38.455403,-122.721082",691040,Sonoma County Special Education
Piner-Olivet Union Elementary,Santa Rosa,Sonoma County,,90%,7%,0%,2%,7%,5%,7%,3%,3%,9%,36%,4%,165,149,12,0,4,153,156,154,160,160,100%,3,"38.472569,-122.800695",630450,"Jack London Elementary,Olivet Elementary Charter,Morrice Schaefer Charter"
Forestville Union Elementary,Forestville,Sonoma County,,92%,2%,0%,6%,8%,8%,8%,6%,8%,15%,46%,6%,49,45,1,0,3,45,45,45,46,45,100%,1,"38.483462,-122.911505",614010,Forestville Elementary
Rincon Valley Union Elementary,Santa Rosa,Sonoma County,,91%,2%,0%,6%,8%,9%,8%,7%,7%,10%,29%,6%,510,465,12,0,33,467,465,467,475,476,100%,8,"38.490621,-122.632315",632640,"Redwood Consortium For Student Services,Madrone Elementary,Spring Creek Matanzas Charter,Whited Elementary Charter,Sequoia Elementary,Village Elementary Charter,Binkley Elementary Charter,Austin Creek Elementary"
Davis Joint Unified,Davis,Yolo County,,94%,2%,0%,4%,5%,4%,5%,5%,4%,9%,20%,8%,604,569,11,1,23,575,577,576,572,579,100%,9,"38.494647,-121.677134",610620,"Fred T. Korematsu Elementary School At Mace Ranch,Birch Lane Elementary,Fairfield Elementary,North Davis Elementary,Pioneer Elementary,Cesar Chavez Elementary,Robert E. Willett Elementary,Patwin Elementary,Marguerite Montgomery Elementary"
