School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Pacific Grove Unified,Pacific Grove,Monterey County,,74%,16%,0%,10%,22%,17%,21%,15%,14%,8%,16%,5%,156,115,25,0,16,122,129,124,132,134,100%,2,"36.610823,-121.932831",629370,"Forest Grove Elementary,Robert Down Elementary"
Pacific Union Elementary,Fresno,Fresno County,,95%,2%,0%,3%,5%,5%,4%,5%,3%,41%,61%,30%,130,124,2,0,4,124,124,125,124,126,100%,2,"36.612458,-119.759468",629400,"Pacific Union Elementary,Pacific Union Elementary"
Monterey Peninsula Unified,Monterey,Monterey County,,90%,7%,0%,2%,7%,6%,8%,4%,3%,19%,51%,8%,1037,938,74,4,21,964,970,953,998,1002,100%,12,"36.613725,-121.809593",625530,"Monte Vista,Del Rey Woods Elementary,Foothill Elementary,George C. Marshall Elementary,Highland Elementary,Ione Olson Elementary,J. C. Crumpton Elementary,La Mesa Elementary,Marina Vista Elementary,Ord Terrace Elementary,Martin Luther King,International School Of Monterey"
Cutler-Orosi Joint Unified,Orosi,Tulare County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,48%,91%,34%,380,380,0,0,0,380,380,380,380,380,75%,4,"36.615624,-118.697574",610350,"Esperanza High,Cutler Elementary,Palm Elementary,Golden Valley Elementary"
Parlier Unified,Parlier,Fresno County,,99%,1%,0%,0%,0%,0%,1%,0%,0%,45%,65%,29%,328,326,2,0,0,327,327,326,327,328,100%,4,"36.61832,-119.528354",629910,"S Ben Benavidez Elementary,Mathew J Brletic Elementary,John C Martinez Elementary,Cesar E Chavez Elementary"
Fowler Unified,Fresno,Fresno County,,98%,2%,0%,0%,1%,2%,0%,0%,0%,38%,77%,22%,235,230,4,0,1,233,231,234,234,234,100%,2,"36.638976,-119.686479",614250,"Malaga Elementary,Marshall Elementary"
Washington Colony Elementary,Fresno,Fresno County,,98%,2%,0%,0%,2%,2%,2%,0%,0%,44%,74%,16%,58,57,1,0,0,57,57,57,58,58,100%,1,"36.639047,-119.788913",641460,Washington Colony Elementary
Washington Unified,Fresno,Fresno County,,86%,11%,0%,3%,11%,10%,10%,5%,5%,52%,65%,,929,796,105,1,27,825,832,832,879,887,100%,12,"36.640715,-119.857049",601415,"W. E. B. Dubois Public Charter,Stonegate Elementary,Riverbank Elementary,Anchor Academy Charter,Sacramento Valley Charter,American Union Elementary,West Fresno Elementary,Elkhorn Village Elementary,Westfield Village Elementary,Westmore Oaks Elementary,Southport Elementary,Bridgeway Island Elementary"
Monterey County Office of Education,Pacific Grove,Monterey County,,70%,22%,0%,8%,12%,21%,22%,22%,21%,,39%,,171,120,38,0,13,150,135,134,134,135,100%,4,"36.6533,-121.639748",691021,"Monterey Bay Charter,Bay View Academy,Monterey County Home Charter,Monterey County Special Education"
Mendota Unified,Mendota,Fresno County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,57%,99%,43%,344,344,0,0,0,344,344,344,344,344,100%,1,"36.658178,-120.500682",600022,Washington Elementary
Alisal Union,Salinas,Monterey County,,82%,17%,0%,0%,13%,14%,14%,2%,2%,34%,77%,20%,1418,1166,247,1,4,1239,1222,1225,1386,1390,100%,13,"36.674726,-121.523781",601950,"Tiburcio Vasquez Elementary,Alisal Community,Bardin Elementary,Fremont Elementary,Jesse G. Sanchez Elementary,Frank Paul Elementary,Virginia Rocca Barton Elementary,John E. Steinbeck Elementary,Cesar E. Chavez Elementary,Creekside Elementary,Oscar F. Loya Elementary,Oasis Charter Public,Dr. Martin Luther King, Jr. Academy"
