Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"GIBSON, Mr Thomas",,Southampton,,20,1892,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-gibson.html
"HAMILTON, Mr William J.",,Southampton,,24,1888,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-hamilton.html
"HARVEY, Mr John",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-harvey.html
"HERD, Mr Hugh",,Southampton,,35,1877,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/hugh-herd.html
"HOLMAN, Mr Thomas",,Southampton,,24,1888,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-holman.html
"HORNER, Mr Alex",,Southampton,,38,1874,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/alex-horner.html
"JOSEPH, Mr Kirkpatrick",,Southampton,,37,1875,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/kirkpatrick-joseph.html
"KEENAN, Mr Patrick",,Southampton,,35,1877,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/patrick-keenan.html
"KERNEY, Mr William",,Southampton,,39,1873,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-kerney.html
"LOUGHRAN, Mr Joseph",,Southampton,,28,1884,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/joseph-loughran.html
