Movie,Country,Year,Production Costs,Movie Profile,Image,Description
Largo Winch,France,2008,"$37,000,000",http://en.wikipedia.org/wiki/Largo_Winch_(film),http://upload.wikimedia.org/wikipedia/en/1/17/Largo_Winch_%282008_film%29_poster.jpg,"Largo Winch (released in the U.S. as The Heir Apparent: Largo Winch) is a 2008 French film based on the Belgian comic book Largo Winch. It was released in France and Belgium on 17 December 2008, and in the United States in November 2011, where it was nominated for Best International Film at the 2012 Saturn Awards. A sequel was released in Belgium 16 February 2011 as The Burma Conspiracy."
Largo Winch 2,France,2011,"$31,000,000",http://en.wikipedia.org/wiki/Largo_Winch_2,http://upload.wikimedia.org/wikipedia/en/6/67/LargoWinchII.jpg,Largo Winch II (released internationally as The Burma Conspiracy) is a 2011 French film based on the Belgian comic book Largo Winch. It was released in France and Belgium on 16 February 2011. It is the sequel to the 2008 film Largo Winch.
Le deuxième souffle,France,2007,"$37,120,000",,http://fr.web.img4.acsta.net/medias/nmedia/18/62/82/42/18815354.jpg,
Les Dalton,France,2004,"$42,000,000",http://en.wikipedia.org/wiki/Les_Dalton,http://img.soundtrackcollector.com/movie/large/Les_Dalton_(2004).jpg,"Les Dalton is a 2004 French Western comedy film directed by Philippe Haïm. It was inspired by the characters The Daltons in the comic Lucky Luke. It was filmed in France, Germany, and Spain. It was released 8 December 2004."
Mesrine: L'Instinct De Mort & Mesrine: L'Ennemi Public N°1,France,2008,"$60,000,000",http://en.wikipedia.org/wiki/Mesrine:_L%27Instinct_De_Mort,http://upload.wikimedia.org/wikipedia/en/f/fb/Mesrine_2008_poster.jpg,"Mesrine is a two-part (Mesrine: Killer Instinct and Mesrine: Public Enemy Number One) 2008 French film directed by Jean-François Richet and written by Abdel Raouf Dafri and Richet. The first part's script was based on the autobiographical bookL'instinct de mort by French gangsterJacques Mesrine, while the second part detailed Mesrine's criminal career after his escape from prison, and his subsequent brutal end. The film has been referred to as the French version of the American film Scarface which starred Al Pacino."
Michel Vaillant,France,2003,"$35,400,000",http://en.wikipedia.org/wiki/Michel_Vaillant_(film),http://image.tmdb.org/t/p/original/nTpgUjfaf2ZdPK6WMeJmuyfawQY.jpg,"Michel Vaillant is a 2003 French movie starring Sagamore Stévenin and Diane Kruger. It depicts events around the 24 hours of Le Mans race, based largely on a comic about the Michel Vaillant character."
Nomad,"United States, France, Russia, Kazakhstan",2007,"$40,000,000",http://en.wikipedia.org/wiki/Nomad_(2006_film),http://upload.wikimedia.org/wikipedia/en/d/d1/Nomad_-_The_Warrior_Poster.png,"Nomad: The Warrior (Kazakh: Көшпенділер, Köşpendiler) is a 2005 Kazakh historical epic film written and co-produced by Rustam Ibragimbekov, executive-produced by Miloš Forman and directed by Sergei Bodrov, Ivan Passer and Talgat Temenov. It was released on March 16, 2007 in North America, distributed by The Weinstein Company. The film has been shot in two versions: in Kazakh by Temenov for distribution in Kazakhstan and in English by Passer and Bodrov for distribution worldwide. The government of Kazakhstan invested $40 million in the movie production, making it the most expensive Kazakh film ever made. Nomad was Kazakhstan's official entry for Best Foreign Language Film for the 79th Academy Awards."
Nothing to Declare,France,2011,"$34,000,000",http://en.wikipedia.org/wiki/Nothing_to_Declare_(film),http://upload.wikimedia.org/wikipedia/en/3/30/Nothing_to_Declare.jpg,"Nothing to Declare (French: Rien à déclarer) is a 2010 French comedy film, written and directed by Dany Boon."
Paris 36,France,2008,"$35,560,000",http://en.wikipedia.org/wiki/Paris_36,http://static.screenweek.it/2009/2/25/Faubourg-36-Poster-USA.jpg,Paris 36 (French: Faubourg 36) is a 2008 French romantic drama film directed by Christophe Barratier. This film is set in 1930s Paris.
Pinocchio,Italy,2002,"$62,000,000",http://en.wikipedia.org/wiki/Pinocchio_(2002_film),http://upload.wikimedia.org/wikipedia/en/9/95/Pinocchio_film.jpg,"Pinocchio is a 2002 Italianlive-actionfamily film directed by and starring Roberto Benigni. The film is based on The Adventures of Pinocchio by Carlo Collodi with Benigni portraying Pinocchio. It was shot in Italy and Kalkara, Malta. The film was later dubbed in the United States."
